word;polarity
☠️;-0.2
☹️;-0.2
❤️;0.3
aanbevelenswaardig;0.6
aanbevelenswaardige;0.6
aanbiddelijk;0.7
aanbiddelijke;0.7
aandachtig;0.5
aandachtige;0.5
aandoenlijk;0.4
aandoenlijke;0.4
aangebrand;-0.6
aangebrande;-0.6
aangelegd;0.7
aangelegde;0.7
aangenaam;0.5
aangename;0.5
aangeschoten;-0.3
aangeschotene;-0.3
aangeslagen;-0.2
aangeslagene;-0.2
aangrijpend;0.4
aangrijpende;0.4
aanhoudend;-0.1
aanhoudende;-0.1
aanlokkelijk;0.6
aanlokkelijke;0.6
aanmatigend;-0.9
aanmatigende;-0.9
aanmerkelijk;0.1
aanmerkelijke;0.1
aannemelijk;0.4
aannemelijke;0.4
aanpakker;0.4
aanpakkersmentaliteit;0.4
aanpassingsbereid;0.2
aanraden;0.2
aanrader;0.6
aanschouwelijk;0.4
aanschouwelijke;0.4
aansprakelijk;-0.3
aansprakelijke;-0.3
aanstekelijk;0.6
aanstekelijke;0.6
aanstellerig;-0.6
aanstellerige;-0.6
aanstuurbaar;0.125
aanstuurbare;0.125
aantoonbaar;0.1
aantoonbare;0.1
aantrekkelijk;0.8
aantrekkelijke;0.8
aanvaardbaar;0.1
aanvaardbare;0.1
aanvallig;0.3
aanvallige;0.3
aanvankelijk;0
aanvankelijke;0
aanvechtbaar;-0.4
aanvechtbare;-0.4
aanverwant;0
aanverwante;0
aanwezig;0.1
aanwezige;0.1
aanwijsbaar;0.4
aanwijsbare;0.4
aanzienlijk;0.4
aanzienlijke;0.4
aardig;0.5
aardige;0.5
aardrijkskundig;0
aardrijkskundige;0
aards;0
aardse;0
aartslui;-0.7
aartsluie;-0.7
abnormaal;-0.9
abnormale;-0.9
abominabel;-0.7
abominabele;-0.7
abrupt;-0.2
abrupte;-0.2
absolute;0.1
absolutistisch;-0.2
absolutistische;-0.2
absoluut;0.1
abstract;0.1
abstracte;0.1
absurd;-0.2
absurde;-0.2
absurdistisch;0.1
absurdistische;0.1
acceptabel;0.1
acceptabele;0.1
accuraat;0.2
accurate;0.2
achteloos;-0.5
achteloze;-0.5
achterbaks;-0.3
achterbakse;-0.3
achterdochtig;-0.5
achterdochtige;-0.5
achterhaald;-0.3
achterhaalde;-0.3
actief;0.1
actieve;0.1
actueel;0.1
actuele;0.1
acute;-0.1
acuut;-0.1
additioneel;0
additionele;0
adembenemend;1
adembenemende;1
ademloos;0.2
ademloze;0.2
adequaat;0.5
adequaatheid;0.3333333
adequate;0.5
administratiefrechtelijk;0
administratiefrechtelijke;0
afbreekbaar;0.6
afbreekbare;0.6
affectief;0.1
affectieve;0.1
afgedraaid;-0.5
afgedraaide;-0.5
afgeladen;-0.1
afgeladene;-0.1
afgeleefd;-0.1
afgeleefde;-0.1
afgepast;0.4
afgepaste;0.4
afgetrapt;-0.4
afgetrapte;-0.4
afgezaagd;-0.5
afgezaagde;-0.5
afgrijselijk;-0.9
afgrijselijke;-0.9
afgunstig;-0.6
afgunstige;-0.6
afhankelijk;-0.1
afhankelijke;-0.1
afkerig;-0.1
afkerige;-0.1
afknapper;-0.6
afkomstig;0
afkomstige;0
afschaffen;-0.1
afschepen;-0.1
afschrikwekkend;-0.3
afschrikwekkende;-0.3
afschuwelijk;-1
afschuwelijke;-1
afschuwwekkend;-0.8
afschuwwekkende;-0.8
afstandelijk;-0.5
afstandelijke;-0.5
afstandelijker;-0.5
afstotelijk;-0.6
afstotelijke;-0.6
aftands;-0.3
aftandse;-0.3
afzienbaar;0.1
afzienbare;0.1
afzonderlijk;0
afzonderlijke;0
agressief;-0.5
agressieve;-0.5
aimabel;0.5
akelig;-0.4
